AGE,SMIN1,SMAX1,GLMIN,GLMAX,CRIMPTS,TOTCHPTS,XCRHISSR,NUMDEPEN,NOCOUNTS,DRUGMIN,MONSEX,WEAPON,NEWEDUC,ZONE,DISTRICT,DISPOSIT,CITIZEN,FISCAL_YEAR,OFFGUIDE,SENTTOT_actual,SENTTOT_predicted,residual,NEWRACE,POC
70.0,60.0,240.0,151.0,188.0,0.0,0.0,1.0,0.0,2,0,0.0,0,5.0,D,47,1,1.0,2025,7,96.0,115.28953081609372,-19.289530816093716,1.0,False
35.0,60.0,240.0,70.0,87.0,1.0,1.0,1.0,0.0,1,0,0.0,0,5.0,D,90,1,1.0,2021,7,70.0,61.06932770545833,8.930672294541672,1.0,False
46.0,0.0,120.0,24.0,30.0,0.0,0.0,1.0,0.0,1,0,0.0,0,6.0,D,52,1,1.0,2023,7,2.0,22.930512541231924,-20.930512541231924,1.0,False
47.0,60.0,240.0,97.0,121.0,0.0,0.0,1.0,1.0,1,0,0.0,0,3.0,D,58,1,1.0,2021,7,60.0,77.814997662122,-17.814997662121996,1.0,False
30.0,60.0,240.0,97.0,121.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,35,1,1.0,2023,7,60.0,75.30748571544112,-15.307485715441118,6.0,False
36.0,0.0,240.0,37.0,46.0,0.0,0.0,4.0,,1,0,0.0,0,6.0,D,74,1,1.0,2024,7,40.0,31.784315579816095,8.215684420183905,1.0,False
25.0,60.0,240.0,70.0,87.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,67,1,1.0,2021,7,68.0,60.073031703465595,7.926968296534405,1.0,False
35.0,60.0,240.0,210.0,240.0,0.0,0.0,1.0,0.0,1,0,0.0,0,5.0,D,63,1,1.0,2022,7,180.0,175.84582330682431,4.154176693175685,1.0,False
33.0,60.0,240.0,121.0,151.0,3.0,3.0,2.0,0.0,4,0,0.0,0,3.0,D,31,1,1.0,2020,7,97.0,114.8459470101754,-17.845947010175394,1.0,False
74.0,0.0,60.0,12.0,18.0,0.0,0.0,1.0,1.0,1,0,0.0,0,6.0,C,8,1,2.0,2020,8,0.03,5.095715267245994,-5.065715267245994,1.0,False
20.0,0.0,240.0,135.0,168.0,0.0,0.0,1.0,0.0,1,0,0.0,0,3.0,D,62,1,1.0,2025,7,72.0,88.96601786213502,-16.96601786213502,1.0,False
48.0,0.0,120.0,63.0,78.0,0.0,0.0,1.0,1.0,1,0,0.0,0,6.0,D,48,1,1.0,2023,7,24.0,46.89690603705798,-22.89690603705798,1.0,False
