POOFFICE,ZONE,SENTTOT,AGE,AGECAT,CASETYPE,CIRCDIST,CITIZEN,CRIMHIST,CRIMPTS,DISPOSIT,DISTRICT,HISPORIG,MONSEX,NEWCNVTN,NEWEDUC,NEWRACE,NOCOUNTS,NUMDEPEN,OFFGUIDE,PRISDUM,PROBDUM,SENTIMP,SUPRDUM,TOTCHPTS,WEAPON,XCRHISSR,DRUGMIN,GLMIN,GLMAX,SMIN1,SMAX1,FISCAL_YEAR
3,D,78.0,64.0,8.0,1.0,68,1.0,1.0,0.0,1,74,2,0.0,0,5.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
2,D,120.0,47.0,6.0,1.0,64,1.0,1.0,0.0,3,70,2,0.0,1,3.0,3.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,262.0,60.0,240.0,2020
5,D,36.0,38.0,5.0,1.0,54,1.0,0.0,0.0,1,61,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,120.0,0.0,120.0,2020
3,D,120.0,33.0,4.0,1.0,90,1.0,1.0,3.0,1,29,1,0.0,0,6.0,1.0,1,1.0,7,1,0,1,1,3.0,0,2.0,0,120.0,120.0,120.0,240.0,2020
2,D,48.0,34.0,4.0,1.0,89,1.0,0.0,0.0,1,30,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
3,D,72.0,36.0,5.0,1.0,27,1.0,1.0,2.0,1,25,1,0.0,0,3.0,1.0,2,0.0,7,1,0,1,1,2.0,0,2.0,0,135.0,168.0,60.0,240.0,2020
1,D,48.0,26.0,3.0,1.0,91,1.0,1.0,0.0,1,31,2,0.0,0,1.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,240.0,2020
5,D,151.0,63.0,8.0,1.0,37,1.0,1.0,0.0,1,43,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
5,C,,44.0,6.0,1.0,20,1.0,1.0,0.0,1,17,1,0.0,0,3.0,6.0,1,3.0,8,0,1,4,0,0.0,0,1.0,0,12.0,18.0,0.0,60.0,2020
3,D,96.0,28.0,3.0,1.0,57,1.0,1.0,0.0,1,64,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
3,D,473.0,44.0,6.0,1.0,34,1.0,1.0,9.0,1,39,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,9.0,0,4.0,0,360.0,480.0,180.0,480.0,2020
6,D,100.0,38.0,5.0,1.0,33,1.0,1.0,2.0,1,40,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,2.0,0,2.0,0,108.0,135.0,0.0,240.0,2020
5,D,48.0,35.0,4.0,1.0,62,1.0,1.0,0.0,1,69,1,0.0,0,5.0,6.0,1,3.0,7,1,0,1,1,0.0,0,1.0,0,70.0,87.0,0.0,240.0,2020
E,D,72.0,37.0,5.0,1.0,24,1.0,0.0,0.0,1,22,1,0.0,0,6.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,70.0,87.0,60.0,240.0,2020
1,D,108.0,49.0,6.0,1.0,3,3.0,1.0,0.0,1,1,1,0.0,0,3.0,1.0,3,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,262.0,60.0,240.0,2020
6,D,44.0,33.0,4.0,1.0,11,1.0,1.0,0.0,1,9,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,0.0,240.0,2020
6,D,60.0,32.0,4.0,1.0,89,1.0,0.0,0.0,1,30,0,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
1,D,78.0,42.0,6.0,1.0,50,1.0,1.0,2.0,1,56,1,0.0,0,5.0,1.0,1,1.0,7,1,0,1,1,2.0,0,2.0,0,108.0,135.0,60.0,240.0,2020
2,D,48.0,26.0,3.0,1.0,17,1.0,1.0,0.0,1,15,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,240.0,2020
4,D,72.0,39.0,5.0,1.0,61,1.0,0.0,0.0,1,68,1,0.0,0,3.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,135.0,168.0,0.0,240.0,2020
1,D,120.0,69.0,8.0,1.0,35,1.0,1.0,0.0,1,41,2,0.0,0,5.0,3.0,4,1.0,7,1,0,1,1,0.0,0,1.0,0,188.0,235.0,60.0,240.0,2020
2,D,100.0,33.0,4.0,1.0,79,1.0,0.0,0.0,1,83,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
A,D,84.0,23.0,2.0,1.0,61,1.0,0.0,0.0,1,68,1,0.0,0,3.0,2.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,235.0,240.0,60.0,240.0,2020
2,D,80.0,20.0,1.0,1.0,65,1.0,0.0,0.0,1,73,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,240.0,60.0,240.0,2020
6,D,120.0,25.0,2.0,1.0,59,1.0,1.0,0.0,1,66,0,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
3,D,60.0,29.0,3.0,1.0,91,1.0,1.0,0.0,1,31,2,0.0,0,1.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,87.0,108.0,0.0,240.0,2020
3,D,110.0,38.0,5.0,1.0,89,1.0,0.0,0.0,1,30,1,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,240.0,60.0,240.0,2020
5,D,190.0,31.0,4.0,1.0,36,2.0,0.0,0.0,1,42,2,0.0,0,3.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,210.0,240.0,60.0,240.0,2020
2,D,24.0,42.0,6.0,1.0,94,3.0,1.0,3.0,1,34,2,0.0,0,5.0,3.0,1,0.0,7,1,0,1,1,5.0,0,3.0,0,37.0,46.0,0.0,240.0,2020
2,D,96.0,53.0,7.0,1.0,65,1.0,1.0,0.0,1,73,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
4,D,12.03,31.0,4.0,1.0,67,1.0,1.0,1.0,1,71,2,0.0,0,5.0,3.0,1,0.0,7,1,0,1,1,1.0,0,1.0,0,78.0,97.0,0.0,240.0,2020
2,D,210.0,47.0,6.0,1.0,76,1.0,1.0,0.0,3,80,1,0.0,1,5.0,1.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,168.0,210.0,60.0,240.0,2020
6,D,70.0,66.0,8.0,1.0,30,1.0,1.0,0.0,1,36,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,70.0,87.0,0.0,240.0,2020
5,D,,68.0,8.0,1.0,83,1.0,0.0,0.0,1,87,1,0.0,0,3.0,6.0,1,1.0,8,0,1,4,0,0.0,0,1.0,0,24.0,30.0,0.0,60.0,2020
3,D,78.0,24.0,2.0,1.0,24,1.0,0.0,0.0,1,22,1,0.0,0,5.0,2.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
5,C,18.0,67.0,8.0,1.0,34,1.0,1.0,1.0,1,39,1,1.0,0,3.0,1.0,1,0.0,8,1,0,1,1,1.0,0,1.0,0,12.0,18.0,0.0,60.0,2020
2,D,72.0,33.0,4.0,1.0,59,1.0,1.0,0.0,1,66,0,0.0,0,6.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
5,D,480.0,34.0,4.0,1.0,36,1.0,0.0,0.0,1,42,1,0.0,0,5.0,6.0,2,0.0,7,1,0,1,1,0.0,0,1.0,0,360.0,480.0,60.0,240.0,2020
8,D,121.0,50.0,6.0,1.0,65,1.0,1.0,3.0,1,73,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,5.0,0,3.0,0,168.0,210.0,120.0,240.0,2020
8,D,63.0,23.0,2.0,1.0,35,2.0,1.0,0.0,1,41,2,0.0,0,3.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,120.0,2020
2,D,120.0,33.0,4.0,1.0,76,1.0,1.0,3.0,1,80,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,5.0,0,3.0,0,120.0,120.0,120.0,240.0,2020
4,D,84.0,40.0,5.0,1.0,82,1.0,1.0,1.0,1,85,1,0.0,0,3.0,1.0,2,0.0,7,1,0,1,1,1.0,0,1.0,0,63.0,78.0,60.0,240.0,2020
2,D,360.0,53.0,7.0,1.0,15,1.0,1.0,3.0,1,13,1,0.0,0,3.0,1.0,4,0.0,7,1,0,1,1,5.0,0,3.0,0,360.0,1680.0,180.0,480.0,2020
2,D,120.0,40.0,5.0,1.0,77,1.0,1.0,6.0,1,81,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,8.0,0,4.0,0,110.0,137.0,0.0,240.0,2020
4,D,37.0,28.0,3.0,1.0,58,3.0,1.0,0.0,1,65,2,0.0,0,3.0,3.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,120.0,2020
1,D,120.0,49.0,6.0,1.0,93,1.0,1.0,3.0,1,32,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,3.0,0,2.0,0,120.0,120.0,120.0,240.0,2020
2,D,120.0,63.0,8.0,1.0,85,1.0,1.0,1.0,1,89,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,3.0,0,2.0,0,120.0,120.0,120.0,240.0,2020
5,D,6.0,58.0,7.0,1.0,20,1.0,1.0,2.0,1,17,1,0.0,0,3.0,6.0,1,0.0,8,1,0,1,1,2.0,0,2.0,0,15.0,21.0,0.0,60.0,2020
5,C,18.0,68.0,8.0,1.0,34,1.0,0.0,0.0,1,39,1,1.0,0,1.0,1.0,1,0.0,8,1,0,1,1,0.0,0,1.0,0,12.0,18.0,0.0,60.0,2020
4,D,24.0,62.0,8.0,1.0,72,1.0,1.0,0.0,1,77,1,0.0,0,6.0,1.0,1,0.0,8,1,0,1,1,0.0,0,1.0,0,24.0,30.0,0.0,120.0,2020
C,D,188.0,21.0,2.0,1.0,46,1.0,1.0,1.0,1,53,1,0.0,0,3.0,1.0,2,0.0,7,1,0,1,1,3.0,0,2.0,0,210.0,262.0,60.0,240.0,2020
1,D,78.0,25.0,2.0,1.0,94,1.0,1.0,0.0,1,34,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,240.0,2020
1,D,230.0,35.0,4.0,1.0,14,1.0,1.0,3.0,1,12,1,0.0,0,3.0,1.0,2,0.0,7,1,0,1,1,5.0,0,3.0,0,262.0,327.0,180.0,480.0,2020
2,D,111.0,44.0,6.0,1.0,66,1.0,0.0,0.0,1,72,1,0.0,0,5.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,135.0,168.0,60.0,240.0,2020
2,D,135.0,27.0,3.0,1.0,73,3.0,1.0,0.0,1,78,2,0.0,0,5.0,3.0,2,3.0,7,1,0,1,1,0.0,0,1.0,0,121.0,151.0,60.0,240.0,2020
2,D,240.0,49.0,6.0,1.0,34,1.0,0.0,0.0,1,39,2,0.0,0,3.0,3.0,1,3.0,7,1,0,1,1,0.0,0,1.0,0,210.0,240.0,60.0,240.0,2020
2,D,96.0,31.0,4.0,1.0,42,1.0,1.0,0.0,1,48,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
1,D,78.0,70.0,8.0,1.0,9,1.0,0.0,0.0,1,6,1,0.0,0,6.0,1.0,4,0.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
3,D,87.0,36.0,5.0,1.0,75,1.0,1.0,3.0,1,79,1,0.0,0,5.0,1.0,2,0.0,7,1,0,1,1,3.0,0,2.0,0,168.0,210.0,60.0,240.0,2020
1,D,151.0,47.0,6.0,1.0,9,1.0,1.0,0.0,1,6,1,0.0,0,3.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,151.0,188.0,60.0,240.0,2020
1,D,60.0,45.0,6.0,1.0,94,1.0,1.0,0.0,1,34,1,0.0,0,3.0,1.0,1,1.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,60.0,240.0,2020
3,D,120.0,60.0,7.0,1.0,16,1.0,1.0,1.0,1,14,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,1.0,0,1.0,0,120.0,120.0,120.0,240.0,2020
1,D,120.0,58.0,7.0,1.0,50,1.0,1.0,3.0,1,56,1,0.0,0,3.0,1.0,1,0.0,7,1,0,1,1,5.0,0,3.0,0,120.0,120.0,120.0,240.0,2020
4,D,90.0,28.0,3.0,1.0,56,1.0,1.0,0.0,1,63,1,0.0,0,5.0,1.0,1,0.0,7,1,0,1,1,0.0,0,1.0,0,97.0,121.0,60.0,240.0,2020
3,D,63.0,43.0,6.0,1.0,68,1.0,1.0,0.0,1,74,1,0.0,0,5.0,1.0,1,3.0,7,1,0,1,1,0.0,0,1.0,0,78.0,97.0,0.0,240.0,2020
